"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 03 17:05:00 IST 2023","Thu Aug 03 17:05:12 IST 2023","12155","chrome","","","","","confirm prompt box alert test",""
"passed","Thu Aug 03 17:04:34 IST 2023","Thu Aug 03 17:04:48 IST 2023","13833","chrome","","","","","check js alert page test",""
"passed","Thu Aug 03 17:04:48 IST 2023","Thu Aug 03 17:05:00 IST 2023","12039","chrome","","","","","check confirm box alert test",""
